area,building,direction,elevator,floor,garden,heating,_id,layout,region,renovation,stairway,structure,totalPrice,type,unitPrice,usage,year
83.0,板塔结合,西,有,高楼层 (共33层),城南,集中供暖,101117685629,2室1厅1厨1卫,雁塔,其他,四梯十二户,钢混结构,145.0,,17470.0,普通住宅,
89.71,板楼,南,有,中楼层 (共33层),曲江,集中供暖,101117685647,2室2厅1厨1卫,雁塔,其他,两梯四户,钢混结构,155.0,,17278.0,普通住宅,
143.27,板楼,南 北,,高楼层 (共6层),临潼,自供暖,101117685686,3室2厅1厨2卫,临潼,其他,一梯两户,砖混结构,96.0,,6701.0,普通住宅,
98.0,板塔结合,南,,低楼层 (共24层),国际港务区,集中供暖,101117685738,2室2厅1厨1卫,灞桥,精装,一梯四户,钢混结构,165.0,平层,16837.0,普通住宅,
85.4,板塔结合,南,有,低楼层 (共33层),城南,自供暖,101117685761,2室2厅1厨1卫,雁塔,其他,两梯六户,钢混结构,145.0,平层,16979.0,普通住宅,
46.28,塔楼,东,有,高楼层 (共25层),经开北,集中供暖,101117685769,1室1厅1厨1卫,未央,其他,两梯十四户,钢混结构,64.0,平层,13829.0,普通住宅,
96.07,塔楼,南 北,,高楼层 (共22层),高陵,集中供暖,101117685806,2室1厅1厨1卫,高陵,其他,一梯四户,钢混结构,97.0,平层,10097.0,普通住宅,
115.0,板塔结合,南 北,有,中楼层 (共33层),经开北,集中供暖,101117685812,3室2厅1厨2卫,未央,其他,两梯四户,钢混结构,185.0,,16087.0,普通住宅,
122.0,板楼,南 北,有,高楼层 (共29层),雁鸣湖,集中供暖,101117685821,3室2厅1厨2卫,雁塔,精装,两梯五户,钢混结构,240.0,平层,19673.0,普通住宅,
119.77,,南 北,,中楼层 (共6层),高陵,集中供暖,101117685855,3室2厅1厨2卫,高陵,其他,一梯三户,未知结构,130.0,,10855.0,普通住宅,
83.3,板塔结合,南,有,低楼层 (共34层),鱼化寨,集中供暖,101117685877,2室2厅1厨1卫,雁塔,其他,三梯六户,钢混结构,190.0,平层,22810.0,普通住宅,
36.81,塔楼,南,有,低楼层 (共9层),高陵,自供暖,101117684776,2室1厅1厨1卫,高陵,其他,一梯十五户,钢混结构,40.0,复式,10867.0,普通住宅,满五年
72.5,板塔结合,南,有,高楼层 (共26层),高陵,集中供暖,101117684789,2室2厅1厨1卫,高陵,其他,两梯六户,钢混结构,60.0,平层,8276.0,普通住宅,
117.0,板楼,南 北,有,高楼层 (共18层),城西,集中供暖,101117684796,3室2厅1厨2卫,莲湖,其他,两梯两户,钢混结构,230.0,,19659.0,普通住宅,
48.0,板楼,南,无,中楼层 (共7层),城内,自供暖,101117684819,1室1厅1厨1卫,碑林,其他,一梯四户,混合结构,53.0,,11042.0,普通住宅,
89.0,板塔结合,南,有,中楼层 (共33层),雁南,集中供暖,101117684935,3室2厅1厨1卫,雁塔,其他,两梯四户,钢混结构,210.0,,23596.0,普通住宅,
81.14,板塔结合,南,有,低楼层 (共32层),曲江,集中供暖,101117684951,2室2厅1厨1卫,雁塔,其他,两梯四户,钢混结构,170.0,,20952.0,普通住宅,
86.0,板塔结合,南,有,低楼层 (共28层),半坡立交,集中供暖,101117684961,2室2厅1厨1卫,灞桥,其他,两梯六户,钢混结构,112.0,,13024.0,普通住宅,
98.0,平房,南 北,无,高楼层 (共7层),城北,集中供暖,101117685006,2室1厅1厨1卫,新城区,其他,一梯三户,砖混结构,107.8,,11000.0,普通住宅,
153.0,板楼,东南,有,中楼层 (共13层),曲江,集中供暖,101117685027,3室2厅1厨2卫,雁塔,其他,两梯八户,钢混结构,336.0,,21961.0,普通住宅,
139.6,板楼,南 北,,低楼层 (共12层),临潼,集中供暖,101117685051,3室2厅1厨2卫,临潼,其他,一梯两户,钢混结构,135.0,,9671.0,普通住宅,
117.67,板塔结合,南,有,高楼层 (共11层),世博园,集中供暖,101117685085,3室2厅1厨2卫,灞桥,其他,一梯两户,钢混结构,282.0,,23966.0,普通住宅,
125.58,板楼,东南,有,高楼层 (共9层),经开南,集中供暖,101117685138,3室2厅1厨2卫,未央,精装,一梯两户,钢混结构,209.0,,16643.0,普通住宅,满两年
42.43,板塔结合,南,有,高楼层 (共32层),曲江,集中供暖,101117685144,1室1厅1厨1卫,雁塔,其他,六梯三十八户,钢混结构,110.0,平层,25926.0,普通住宅,满两年
56.0,塔楼,南 北,有,低楼层 (共32层),黄雁村,集中供暖,101117685151,2室1厅1厨1卫,碑林,其他,三梯九户,钢混结构,159.0,,28393.0,普通住宅,
108.0,板塔结合,南 北,有,低楼层 (共25层),矿山路,集中供暖,101117685153,3室2厅1厨2卫,未央,毛坯,两梯四户,钢混结构,147.0,平层,13612.0,普通住宅,
71.1,板楼,南 北,无,中楼层 (共7层),城西,自供暖,101117685159,2室1厅1厨1卫,莲湖,其他,一梯四户,混合结构,80.0,,11252.0,普通住宅,
143.0,板楼,南 北,有,低楼层 (共9层),国际港务区,集中供暖,101117684044,4室2厅1厨2卫,灞桥,毛坯,一梯两户,钢混结构,400.0,平层,27973.0,普通住宅,未满两年
62.0,板塔结合,南,有,中楼层 (共16层),曲江,集中供暖,101117684054,1室2厅1厨1卫,雁塔,其他,两梯四户,钢混结构,150.0,,24194.0,普通住宅,
92.0,板塔结合,南,有,高楼层 (共27层),纺织城,集中供暖,101117684101,2室2厅1厨1卫,灞桥,简装,两梯四户,钢混结构,128.0,平层,13914.0,普通住宅,
159.0,平房,南 北,,高楼层 (共8层),蓝田,集中供暖,101117684117,4室2厅1厨2卫,蓝田,毛坯,一梯两户,框架结构,239.0,,15032.0,普通住宅,
74.22,板塔结合,东南,有,高楼层 (共33层),城西,集中供暖,101117684150,2室1厅1厨1卫,未央,精装,七梯三十一户,钢混结构,116.0,平层,15630.0,普通住宅,满两年
77.67,板楼,东南 西南,有,高楼层 (共18层),高陵,集中供暖,101117684158,2室1厅1厨1卫,高陵,其他,两梯六户,钢混结构,80.0,平层,10300.0,普通住宅,
91.0,板楼,南,有,低楼层 (共33层),经开北,集中供暖,101117684192,3室2厅1厨1卫,未央,精装,两梯四户,钢混结构,200.0,,21979.0,普通住宅,
62.8,塔楼,南,有,低楼层 (共18层),城西,集中供暖,101117684223,2室1厅1厨1卫,莲湖,其他,三梯十户,钢混结构,105.0,平层,16720.0,普通住宅,
93.36,板塔结合,南,无,中楼层 (共6层),高陵,集中供暖,101117684293,2室2厅1厨1卫,高陵,其他,一梯两户,钢混结构,63.0,平层,6749.0,普通住宅,未满两年
91.0,板楼,南,有,低楼层 (共34层),经开北,集中供暖,101117684318,3室2厅1厨1卫,未央,其他,两梯四户,钢混结构,175.0,,19231.0,普通住宅,
41.75,板塔结合,南,无,中楼层 (共7层),城内,自供暖,101117684334,2室1厅1厨1卫,新城区,其他,一梯三户,砖混结构,46.0,平层,11018.0,普通住宅,
143.0,板楼,南 北,有,低楼层 (共33层),曲江,集中供暖,101117684335,4室2厅1厨3卫,雁塔,其他,两梯两户,钢混结构,400.0,平层,27973.0,普通住宅,
146.43,板塔结合,南,有,高楼层 (共32层),城北,集中供暖,101117684375,4室2厅1厨2卫,莲湖,其他,两梯四户,钢混结构,245.0,,16732.0,普通住宅,
